pollster,start_date,end_date,sample_size,sample_type,rep,dem,other,year,state
NBC News/Marist,2018/10/13,2018/10/18,511,LV,50,36,,2018,mississippi
Mason-Dixon,2018/04/12,2018/04/14,625,RV,46,34,,2018,mississippi
NBC News/Marist,2018/09/16,2018/09/20,564,LV,35,49,4,2018,ohio
FOX News,2018/10/27,2018/10/30,722,LV,38,45,5,2018,indiana
NBC News/Marist,2018/10/24,2018/10/28,496,LV,42,45,7,2018,indiana
CBS News/YouGov,2018/10/23,2018/10/26,975,LV,46,43,3,2018,indiana
Indy Politics/Mason Strategies (R),2018/10/15,2018/10/20,600,LV,47,43,3,2018,indiana
SurveyUSA,2018/10/12,2018/10/16,816,LV,40,41,8,2018,indiana
Gravis,2018/10/12,2018/10/16,377,LV,40,44,7,2018,indiana
FOX News,2018/09/29,2018/10/02,695,LV,41,43,6,2018,indiana
FOX News,2018/09/08,2018/09/11,677,LV,45,43,3,2018,indiana
NBC News/Marist,2018/08/26,2018/08/29,576,LV,41,44,8,2018,indiana
Gonzales Research,2018/10/01,2018/10/06,806,LV,22,49,18,2018,maryland
Goucher College,2018/09/11,2018/09/16,472,LV,17,56,8,2018,maryland
CNN,2018/10/24,2018/10/29,622,LV,45,48,2,2018,nevada
NBC News/Marist,2018/09/30,2018/10/03,574,LV,44,42,8,2018,nevada
Suffolk*,2018/09/05,2018/09/10,500,LV,41,42,2,2018,nevada
CNN,2018/09/25,2018/09/29,693,LV,43,47,4,2018,nevada
Suffolk*,2018/07/24,2018/07/29,500,LV,41,40,2,2018,nevada
Albuquerque Journal,2018/10/26,2018/11/01,993,LV,31,51,12,2018,new-mexico
KOB-TV,2018/10/29,2018/10/29,1200,LV,37,52,7,2018,new-mexico
Emerson,2018/10/24,2018/10/26,936,LV,32,48,16,2018,new-mexico
Albuquerque Journal,2018/09/07,2018/09/13,966,LV,26,47,16,2018,new-mexico
Emerson,2018/08/17,2018/08/18,500,LV,11,39,21,2018,new-mexico
