pollster,start_date,end_date,sample_size,sample_type,rep,dem,other,year,state,overlapping_special_election
Data for Progress (D)**,2022/10/26,2022/10/28,818,LV,39,56,,2022,new-york,
The Hill/Emerson,2022/10/20,2022/10/24,1000,LV,40,53,,2022,new-york,
WNYT-TV/SurveyUSA,2022/10/14,2022/10/18,702,LV,38,52,,2022,new-york,
Quinnipiac,2022/10/12,2022/10/16,1617,LV,42,54,,2022,new-york,
Marist,2022/10/03,2022/10/06,900,LV,39,52,,2022,new-york,
Siena,2022/09/16,2022/09/25,655,LV,36,55,,2022,new-york,
Emerson,2022/07/26,2022/07/28,1000,RV,31,53,,2022,new-york,
Siena,2022/07/24,2022/07/28,806,LV,35,56,,2022,new-york,
Fabrizio/Anzalone,2022/09/06,2022/09/11,500,LV,50,,,2022,alaska,
FOX 5 Atlanta/InsiderAdvantage,2022/10/27,2022/10/27,550,LV,48,45,2,2022,georgia,
Daily Wire/Trafalgar,2022/10/21,2022/10/23,1076,LV,49,47,5,2022,georgia,
Atlanta Journal-Constitution,2022/10/16,2022/10/27,1022,LV,46,45,5,2022,georgia,
Landmark Communications,2022/10/15,2022/10/17,500,LV,46,46,3,2022,georgia,
InsiderAdvantage*,2022/10/16,2022/10/16,550,LV,46,44,4,2022,georgia,
Trafalgar Group (R),2022/10/08,2022/10/11,1084,LV,45,46,4,2022,georgia,
FOX 5 Atlanta/InsiderAdvantage*,2022/10/04,2022/10/04,550,LV,44,47,3,2022,georgia,
Atlanta Journal-Constitution,2022/09/25,2022/10/04,1030,LV,43,46,4,2022,georgia,
Marist,2022/09/12,2022/09/15,992,LV,45,47,4,2022,georgia,
Atlanta Journal-Constitution,2022/09/05,2022/09/16,861,LV,46,44,3,2022,georgia,
FOX 5 Atlanta/InsiderAdvantage,2022/09/06,2022/09/07,550,LV,47,44,4,2022,georgia,
Trafalgar Group (R),2022/08/24,2022/08/27,1079,LV,48,47,3,2022,georgia,
FOX 5 Atlanta/InsiderAdvantage,2022/07/26,2022/09/27,750,LV,45,48,3,2022,georgia,
Atlanta Journal-Constitution,2022/07/14,2022/07/22,902,LV,43,46,3,2022,georgia,
Fabrizio/Anzalone,2022/09/06,2022/09/11,500,LV,38,14,,2022,alaska,
USA Today/Suffolk*,2022/10/04,2022/10/07,500,LV,44,46,1,2022,nevada,
Trafalgar Group (R)*,2022/09/17,2022/09/20,1086,LV,47,43,2,2022,nevada,
Fabrizio/Anzalone,2022/08/16,2022/08/24,1332,LV,40,44,1,2022,nevada,
Trafalgar Group (R)*,2022/08/15,2022/08/18,1082,LV,47,44,2,2022,nevada,
Reno Gazette-Journal/Suffolk,2022/08/14,2022/08/17,500,RV,38,45,0,2022,nevada,
USA Today/Suffolk,2022/09/15,2022/09/18,500,LV,45,41,1,2022,florida,
