pollster,start_date,end_date,sample_size,sample_type,rep,dem,other,year,state,overlapping_special_election
East Carolina U.,2020/01/31,2020/02/02,1756,RV,51,38,,2020,south-carolina,
Albuquerque Journal*,2020/10/23,2020/10/29,1180,LV,44,52,,2020,new-mexico,
PPP (D)*,2020/09/30,2020/10/01,886,LV,41,51,,2020,new-mexico,
Albuquerque Journal*,2020/08/28,2020/09/02,1123,LV,40,49,,2020,new-mexico,
PPP (D),2020/06/12,2020/06/13,740,RV,34,48,,2020,new-mexico,
Nielson Brothers,2020/10/24,2020/10/28,484,RV,56,39,,2020,south-dakota,
Trafalgar Group (R),2021/01/02,2021/01/04,1056,LV,49,49,,2020,georgia,1
FOX 5 Atlanta/InsiderAdvantage,2021/01/03,2021/01/03,500,LV,49,49,,2020,georgia,1
WXIA-TV/SurveyUSA,2020/12/16,2020/12/20,600,LV,46,51,,2020,georgia,1
Emerson,2020/12/14,2020/12/16,605,LV,51,48,,2020,georgia,1
Trafalgar Group (R),2020/12/23,2020/12/27,1022,LV,48,50,,2020,georgia,1
FOX 5 Atlanta/InsiderAdvantage,2020/12/21,2020/12/22,500,RV,49,48,,2020,georgia,1
Trafalgar Group (R),2020/12/14,2020/12/16,1064,RV,50,48,,2020,georgia,1
FOX 5 Atlanta/InsiderAdvantage,2020/12/14,2020/12/14,500,LV,49,48,,2020,georgia,1
Trafalgar Group (R),2020/12/08,2020/12/10,1018,LV,49,49,,2020,georgia,1
Trafalgar Group (R),2020/12/01,2020/12/03,1083,LV,47,48,,2020,georgia,1
WXIA-TV/SurveyUSA,2020/11/27,2020/11/30,583,LV,48,50,,2020,georgia,1
FOX 5 Atlanta/InsiderAdvantage,2020/11/16,2020/11/16,800,LV,49,49,,2020,georgia,1
Remington Research (R),2020/11/08,2020/11/09,1450,LV,50,46,,2020,georgia,1
NY Times/Siena,2020/10/18,2020/10/20,755,LV,46,42,4,2020,kansas,
Mason-Dixon,2020/10/12,2020/10/15,625,LV,51,42,4,2020,kentucky,
CNN,2020/10/23,2020/10/30,907,LV,40,52,3,2020,michigan,
MIRS/Mitchell Research,2020/10/25,2020/10/27,759,LV,43,52,0,2020,michigan,
NY Times/Siena*,2020/10/23,2020/10/26,856,LV,41,49,1,2020,michigan,
NY Times/Siena,2020/10/20,2020/10/25,802,LV,48,38,4,2020,texas,
Dallas Morning News,2020/10/13,2020/10/20,925,LV,42,34,2,2020,texas,
NY Times/Siena,2020/09/16,2020/09/21,653,LV,43,37,4,2020,texas,
Dallas Morning News,2020/08/28,2020/09/02,901,LV,39,28,2,2020,texas,
Rice Univ./YouGov,2020/08/04,2020/08/13,846,RV,44,37,2,2020,texas,
CNN,2020/10/23,2020/10/30,901,LV,44,47,2,2020,north-carolina,
NY Times/Siena,2020/10/23,2020/10/27,1034,LV,43,46,1,2020,north-carolina,
Civitas/Harper (R),2020/10/22,2020/10/25,504,LV,43,46,1,2020,north-carolina,
Monmouth,2020/10/08,2020/10/11,500,LV,44,49,0,2020,north-carolina,
Civitas/Harper (R),2020/09/17,2020/09/20,612,LV,38,44,2,2020,north-carolina,
NY Times/Siena,2020/09/11,2020/09/16,653,LV,37,42,1,2020,north-carolina,
USA Today/Suffolk,2020/09/11,2020/09/14,500,LV,38,42,2,2020,north-carolina,
CNN,2020/09/09,2020/09/13,787,LV,46,47,1,2020,north-carolina,
Trafalgar Group (R),2020/09/09,2020/09/11,1046,LV,45,46,1,2020,north-carolina,
Monmouth,2020/08/29,2020/09/01,401,RV,45,46,1,2020,north-carolina,
FOX News,2020/08/29,2020/09/01,722,LV,42,48,1,2020,north-carolina,
FOX News,2020/06/20,2020/06/23,1012,RV,37,39,3,2020,north-carolina,
Civitas/Harper (R),2020/05/26,2020/05/28,500,LV,38,36,2,2020,north-carolina,
