pollster,start_date,end_date,sample_size,sample_type,rep,dem,other,year,state,overlapping_special_election
Rasmussen Reports,2010/09/15,2010/09/15,500,LV,42,53,,2010,delaware,
PPP (D),2010/09/11,2010/09/12,958,LV,34,50,,2010,delaware,
Rasmussen Reports,2010/09/02,2010/09/02,500,LV,36,47,,2010,delaware,
Daily Kos/PPP (D),2010/08/07,2010/08/08,620,RV,37,44,,2010,delaware,
Rasmussen Reports,2010/08/05,2010/08/05,500,LV,36,46,,2010,delaware,
Rasmussen Reports,2010/07/14,2010/07/14,500,LV,41,39,,2010,delaware,
Magellan Strategies (R),2010/10/24,2010/10/24,1347,LV,52,35,,2010,louisiana,
WWL-TV/Clarus Research,2010/10/21,2010/10/24,700,LV,50,38,,2010,louisiana,
Rasmussen Reports,2010/08/30,2010/08/30,500,LV,54,33,,2010,louisiana,
PPP (D),2010/08/21,2010/08/22,403,LV,51,41,,2010,louisiana,
Magellan Strategies (R),2010/10/10,2010/10/10,1107,LV,51,35,,2010,louisiana,
Magellan Strategies (R),2010/09/19,2010/09/19,1232,LV,52,34,,2010,louisiana,
WWL-TV/Clarus Research,2010/08/15,2010/08/16,600,RV,48,36,,2010,louisiana,
Rasmussen Reports,2010/06/24,2010/06/24,500,LV,53,35,,2010,louisiana,
PPP (D),2010/06/12,2010/06/13,492,LV,46,37,,2010,louisiana,
Magellan Strategies (R),2010/06/10,2010/06/13,1030,LV,51,31,,2010,louisiana,
SMOR/Grigsby (R),2010/04/19,2010/04/23,600,RV,49,31,,2010,louisiana,
Rasmussen Reports,2010/04/07,2010/04/07,500,LV,52,36,,2010,louisiana,
Rasmussen Reports,2010/02/10,2010/02/10,500,LV,57,33,,2010,louisiana,
Rasmussen Reports,2010/01/14,2010/01/14,500,LV,53,35,,2010,louisiana,
SMOR/Grigsby (R),2009/10/12,2009/10/15,600,LV,48,36,,2010,louisiana,
Rasmussen Reports,2009/10/05,2009/10/05,500,LV,46,36,,2010,louisiana,
PPP (D),2009/07/17,2009/07/19,727,LV,44,32,,2010,louisiana,
SurveyUSA,2010/10/22,2010/10/26,561,LV,66,26,,2010,kansas,
SurveyUSA,2010/10/10,2010/10/12,619,LV,67,27,,2010,kansas,
SurveyUSA,2010/09/14,2010/09/16,602,LV,66,24,,2010,kansas,
SurveyUSA,2010/08/12,2010/08/15,588,LV,69,23,,2010,kansas,
Rasmussen Reports,2010/08/04,2010/08/04,500,LV,61,28,,2010,kansas,
Rasmussen Reports,2010/06/30,2010/06/30,500,LV,59,23,,2010,kansas,
Rasmussen Reports,2010/05/11,2010/05/11,500,LV,61,25,,2010,kansas,
Sooner Poll,2010/10/03,2010/10/07,352,LV,62,22,,2010,oklahoma,
Rasmussen Reports,2010/09/23,2010/09/23,500,LV,68,26,,2010,oklahoma,
Rasmussen Reports,2010/08/26,2010/08/26,500,LV,67,24,,2010,oklahoma,
Rasmussen Reports,2010/07/28,2010/07/28,500,LV,65,31,,2010,oklahoma,
Rasmussen Reports,2010/06/30,2010/06/30,500,LV,65,26,,2010,oklahoma,
Rasmussen Reports,2010/10/28,2010/10/28,500,LV,55,36,,2010,arkansas,
Mason-Dixon,2010/10/15,2010/10/19,625,LV,55,34,,2010,arkansas,
The Arkansas Poll,2010/10/08,2010/10/20,566,LV,54,35,,2010,arkansas,
CNN/Time,2010/10/15,2010/10/19,809,LV,55,41,,2010,arkansas,
Rasmussen Reports,2010/09/30,2010/09/30,500,LV,55,37,,2010,arkansas,
Reuters/Ipsos,2010/09/17,2010/09/19,436,LV,53,39,,2010,arkansas,
Talk Business Poll,2010/09/16,2010/09/16,573,LV,56,29,,2010,arkansas,
Mason-Dixon,2010/09/12,2010/09/14,625,LV,51,34,,2010,arkansas,
Rasmussen Reports,2010/08/18,2010/08/18,500,LV,65,27,,2010,arkansas,
Rasmussen Reports,2010/07/20,2010/07/20,500,LV,60,35,,2010,arkansas,
Reuters/Ipsos,2010/07/16,2010/07/18,600,RV,54,35,,2010,arkansas,
Talk Business Poll,2010/07/17,2010/07/17,793,LV,57,32,,2010,arkansas,
Magellan Strategies (R),2010/07/12,2010/07/12,897,LV,60,29,,2010,arkansas,
Rasmussen Reports,2010/06/15,2010/06/15,500,LV,61,32,,2010,arkansas,
R2000/Daily Kos (D)**,2010/05/24,2010/05/26,600,LV,58,38,,2010,arkansas,
Rasmussen Reports,2010/05/19,2010/05/19,500,LV,66,28,,2010,arkansas,
R2000/Daily Kos (D)**,2010/05/10,2010/05/12,600,LV,54,40,,2010,arkansas,
Mason-Dixon,2010/05/03,2010/05/05,625,LV,52,35,,2010,arkansas,
R2000/Daily Kos (D)**,2010/04/26,2010/04/28,600,LV,52,42,,2010,arkansas,
Rasmussen Reports,2010/04/26,2010/04/26,500,LV,57,29,,2010,arkansas,
R2000/Daily Kos (D)**,2010/04/12,2010/04/14,600,LV,50,43,,2010,arkansas,
Rasmussen Reports,2010/03/30,2010/03/30,500,LV,51,36,,2010,arkansas,
R2000/Daily Kos (D)**,2010/03/22,2010/03/24,600,LV,49,42,,2010,arkansas,
Rasmussen Reports,2010/03/01,2010/03/01,500,LV,48,39,,2010,arkansas,
Rasmussen Reports,2010/02/01,2010/02/01,500,LV,54,35,,2010,arkansas,
PPP (D),2009/01/29,2010/01/31,810,RV,56,33,,2010,arkansas,
Mason-Dixon,2010/10/26,2010/10/28,625,LV,56,33,,2010,georgia,
Rasmussen Reports,2010/10/24,2010/10/24,750,LV,59,29,,2010,georgia,
SurveyUSA,2010/10/21,2010/10/24,601,LV,58,34,,2010,georgia,
Landmark (R),2010/10/19,2010/10/19,3277,LV,56,35,,2010,georgia,
Rasmussen Reports,2010/10/06,2010/10/06,750,LV,53,38,,2010,georgia,
Insider Advantage,2010/09/27,2010/09/27,412,LV,61,29,,2010,georgia,
Rasmussen Reports,2010/09/21,2010/09/21,500,LV,52,36,,2010,georgia,
Insider Advantage,2010/09/16,2010/09/16,632,LV,52,34,,2010,georgia,
Mason-Dixon,2010/09/13,2010/09/15,625,LV,52,33,,2010,georgia,
SurveyUSA,2010/09/10,2010/09/12,599,LV,56,34,,2010,georgia,
Insider Advantage,2010/08/18,2010/08/18,554,RV,47,35,,2010,georgia,
Rasmussen Reports,2010/08/11,2010/08/11,500,LV,55,41,,2010,georgia,
Rasmussen Reports,2010/05/20,2010/05/20,500,LV,57,30,,2010,georgia,
Rasmussen Reports,2010/04/22,2010/04/22,500,LV,51,35,,2010,georgia,
R2000/Daily Kos (D)**,2010/04/05,2010/04/07,600,LV,53,26,,2010,georgia,
Rasmussen Reports,2010/10/31,2010/10/31,750,LV,46,53,,2010,connecticut,
Quinnipiac,2010/10/25,2010/10/31,930,LV,44,53,,2010,connecticut,
PPP (D),2010/10/27,2010/10/29,759,LV,43,54,,2010,connecticut,
CT Capitol Report/MRG,2010/10/24,2010/10/26,1846,LV,44,52,,2010,connecticut,
Rasmussen Reports,2010/10/24,2010/10/24,750,LV,43,56,,2010,connecticut,
Quinnipiac,2010/10/18,2010/10/24,702,LV,42,54,,2010,connecticut,
FOX News/POR-Rasmussen,2010/10/23,2010/10/23,1000,LV,42,53,,2010,connecticut,
Suffolk University*,2010/10/19,2010/10/20,500,LV,39,57,,2010,connecticut,
Rasmussen Reports,2010/10/14,2010/10/14,750,LV,46,51,,2010,connecticut,
Quinnipiac,2010/10/07,2010/10/11,1119,LV,43,54,,2010,connecticut,
FOX News/POR-Rasmussen,2010/10/09,2010/10/09,1000,LV,43,49,,2010,connecticut,
Rasmussen Reports,2010/10/05,2010/10/05,750,LV,43,54,,2010,connecticut,
CT Capitol Report/MRG,2010/10/03,2010/10/03,1623,LV,45,52,,2010,connecticut,
CNN/Time,2010/10/01,2010/10/05,773,LV,41,54,,2010,connecticut,
FOX News/POR-Rasmussen,2010/10/02,2010/10/02,1000,LV,42,52,,2010,connecticut,
PPP (D),2010/09/30,2010/10/02,810,LV,41,53,,2010,connecticut,
Rasmussen Reports,2010/09/26,2010/09/26,500,LV,45,50,,2010,connecticut,
Quinnipiac,2010/09/21,2010/09/26,1083,LV,46,49,,2010,connecticut,
Quinnipiac,2010/09/08,2010/09/12,875,LV,45,51,,2010,connecticut,
Rasmussen Reports,2010/09/09,2010/09/09,500,LV,44,53,,2010,connecticut,
Rasmussen Reports,2010/08/11,2010/08/11,500,LV,40,47,,2010,connecticut,
Quinnipiac,2010/07/28,2010/08/02,1299,RV,40,50,,2010,connecticut,
Rasmussen Reports,2010/07/15,2010/07/15,500,LV,40,53,,2010,connecticut,
Quinnipiac,2010/07/07,2010/07/13,1367,RV,37,54,,2010,connecticut,
Quinnipiac,2010/06/02,2010/06/08,1350,RV,35,55,,2010,connecticut,
Rasmussen Reports,2010/06/01,2010/06/01,500,LV,33,56,,2010,connecticut,
R2000/Daily Kos (D)**,2010/05/24,2010/05/26,600,LV,33,52,,2010,connecticut,
Quinnipiac,2010/05/24,2010/05/25,1159,RV,31,56,,2010,connecticut,
Rasmussen Reports,2010/05/18,2010/05/18,500,LV,45,48,,2010,connecticut,
Rasmussen Reports,2010/05/04,2010/05/04,500,LV,39,52,,2010,connecticut,
Rasmussen Reports,2010/04/07,2010/04/07,500,LV,35,55,,2010,connecticut,
Quinnipiac,2010/03/09,2010/03/15,1451,RV,28,61,,2010,connecticut,
Rasmussen Reports,2010/03/02,2010/03/02,500,LV,31,60,,2010,connecticut,
Rasmussen Reports,2010/02/01,2010/02/01,500,LV,36,56,,2010,connecticut,
R2000/Daily Kos (D)**,2010/01/11,2010/01/13,600,LV,34,56,,2010,connecticut,
Quinnipiac,2010/01/08,2010/01/12,1430,RV,23,64,,2010,connecticut,
Rasmussen Reports,2010/01/06,2010/01/06,500,LV,34,58,,2010,connecticut,
PPP (D),2010/01/04,2010/01/05,522,LV,28,60,,2010,connecticut,
PPP (D),2010/10/29,2010/10/31,882,LV,46,50,,2010,california,
SurveyUSA,2010/10/26,2010/10/31,587,LV,38,46,,2010,california,
Rasmussen Reports,2010/10/27,2010/10/27,750,LV,46,49,,2010,california,
CNN/Time,2010/10/20,2010/10/26,888,LV,45,50,,2010,california,
SurveyUSA,2010/10/21,2010/10/25,594,LV,40,45,,2010,california,
FOX News/POR-Rasmussen,2010/10/23,2010/10/23,1000,LV,44,48,,2010,california,
Suffolk University,2010/10/21,2010/10/24,600,LV,43,52,,2010,california,
PPP (D),2010/10/21,2010/10/23,622,LV,43,52,,2010,california,
Field,2010/10/14,2010/10/26,1092,LV,41,49,,2010,california,
Rasmussen Reports,2010/10/21,2010/10/21,750,LV,46,48,,2010,california,
SurveyUSA,2010/10/15,2010/10/18,621,LV,44,46,,2010,california,
LA Times/USC,2010/10/13,2010/10/20,922,LV,42,50,,2010,california,
FOX News/POR-Rasmussen,2010/10/16,2010/10/16,1000,LV,44,48,,2010,california,
PPIC,2010/10/10,2010/10/17,1067,LV,38,43,,2010,california,
Wilson Research (R),2010/10/13,2010/10/14,800,LV,46,43,,2010,california,
Reuters/Ipsos,2010/10/12,2010/10/14,448,LV,45,46,,2010,california,
Rasmussen Reports,2010/10/13,2010/10/13,750,LV,46,49,,2010,california,
Reuters/Ipsos,2010/10/02,2010/10/04,448,LV,45,49,,2010,california,
Rasmussen Reports,2010/10/03,2010/10/03,750,LV,45,49,,2010,california,
SurveyUSA,2010/09/30,2010/10/03,670,LV,43,46,,2010,california,
CNN/Time,2010/09/24,2010/09/28,786,LV,43,52,,2010,california,
PPIC,2010/09/19,2010/09/26,1104,LV,35,42,,2010,california,
SurveyUSA,2010/09/19,2010/09/21,610,LV,43,49,,2010,california,
Rasmussen Reports,2010/09/20,2010/09/20,750,LV,43,47,,2010,california,
LA Times/USC,2010/09/15,2010/09/22,887,LV,43,51,,2010,california,
Field,2010/09/14,2010/09/21,599,LV,41,47,,2010,california,
FOX News/POR-Rasmussen,2010/09/18,2010/09/18,1000,LV,46,47,,2010,california,
PPP (D),2010/09/14,2010/09/16,630,LV,42,50,,2010,california,
FOX News/POR-Rasmussen,2010/09/11,2010/09/11,1000,LV,44,46,,2010,california,
CNN/Time,2010/09/02,2010/09/07,866,RV,44,48,,2010,california,
Rasmussen Reports,2010/09/06,2010/09/06,750,LV,48,47,,2010,california,
SurveyUSA,2010/08/31,2010/09/01,569,LV,48,46,,2010,california,
Rasmussen Reports,2010/08/24,2010/08/24,750,LV,44,49,,2010,california,
SurveyUSA,2010/08/09,2010/08/11,602,LV,47,42,,2010,california,
Rasmussen Reports,2010/08/03,2010/08/03,750,LV,40,45,,2010,california,
PPP (D),2010/07/23,2010/07/25,614,RV,40,49,,2010,california,
PPIC,2010/07/06,2010/07/20,1321,LV,34,39,,2010,california,
Rasmussen Reports,2010/07/12,2010/07/12,500,LV,42,49,,2010,california,
SurveyUSA,2010/07/08,2010/07/11,614,LV,47,45,,2010,california,
Field,2010/06/22,2010/07/05,1005,LV,44,47,,2010,california,
Reuters/Ipsos,2010/06/25,2010/06/27,600,RV,41,45,,2010,california,
Rasmussen Reports,2010/06/09,2010/06/09,500,LV,43,48,,2010,california,
LA Times/USC,2010/05/19,2010/05/26,1506,RV,38,44,,2010,california,
PPP (D),2010/05/21,2010/05/23,921,RV,42,45,,2010,california,
R2000/Daily Kos (D)**,2010/05/17,2010/05/19,600,LV,39,48,,2010,california,
PPIC,2010/05/09,2010/05/16,1168,LV,39,48,,2010,california,
Rasmussen Reports,2010/05/12,2010/05/12,500,LV,38,45,,2010,california,
Rasmussen Reports,2010/04/12,2010/04/12,500,LV,38,42,,2010,california,
PPIC,2010/03/09,2010/03/16,1102,LV,43,44,,2010,california,
Field,2010/03/09,2010/03/15,748,LV,44,45,,2010,california,
Rasmussen Reports,2010/03/11,2010/03/11,500,LV,40,46,,2010,california,
R2000/Daily Kos (D)**,2010/03/08,2010/03/10,600,LV,40,49,,2010,california,
Rasmussen Reports,2010/02/11,2010/02/11,500,LV,42,46,,2010,california,
PPIC,2010/01/12,2010/01/19,1223,LV,40,48,,2010,california,
Rasmussen Reports,2010/01/14,2010/01/14,500,LV,43,46,,2010,california,
Field,2010/01/05,2010/01/17,958,LV,35,50,,2010,california,
Rasmussen Reports,2009/11/17,2009/11/17,500,LV,37,46,,2010,california,
Field,2009/09/18,2009/10/06,1005,RV,35,49,,2010,california,
Rasmussen Reports,2009/09/23,2009/09/23,500,LV,39,49,,2010,california,
R2000/Daily Kos (D)**,2009/08/09,2009/08/12,600,LV,31,52,,2010,california,
Rasmussen Reports,2009/07/22,2009/07/22,500,LV,41,45,,2010,california,
Field,2009/02/20,2009/03/01,761,RV,25,55,,2010,california,
WMUR/UNH,2010/10/27,2010/10/31,885,LV,54,36,,2010,new-hampshire,
PPP (D),2010/10/27,2010/10/29,1308,LV,56,41,,2010,new-hampshire,
Rasmussen Reports,2010/10/27,2010/10/27,750,LV,56,41,,2010,new-hampshire,
WMUR/UNH,2010/10/07,2010/10/12,709,LV,50,35,,2010,new-hampshire,
Rasmussen Reports,2010/10/10,2010/10/10,750,LV,51,44,,2010,new-hampshire,
ARG,2010/10/03,2010/10/05,600,LV,47,42,,2010,new-hampshire,
WMUR/UNH,2010/09/23,2010/09/29,466,LV,50,35,,2010,new-hampshire,
ARG,2010/09/22,2010/09/26,800,LV,46,32,,2010,new-hampshire,
Rasmussen Reports,2010/09/15,2010/09/15,500,LV,51,44,,2010,new-hampshire,
PPP (D),2010/09/11,2010/09/12,1959,LV,47,43,,2010,new-hampshire,
Rasmussen Reports,2010/08/05,2010/08/05,500,LV,51,38,,2010,new-hampshire,
WMUR/UNH,2010/07/19,2010/07/27,446,LV,45,37,,2010,new-hampshire,
PPP (D),2010/07/23,2010/07/25,900,RV,45,42,,2010,new-hampshire,
Rasmussen Reports,2010/07/12,2010/07/12,500,LV,49,37,,2010,new-hampshire,
Rasmussen Reports,2010/05/11,2010/05/11,500,LV,50,38,,2010,new-hampshire,
WMUR/UNH,2010/04/12,2010/04/21,462,LV,47,32,,2010,new-hampshire,
PPP (D),2010/04/17,2010/04/18,1474,LV,47,40,,2010,new-hampshire,
Rasmussen Reports,2010/04/07,2010/04/07,500,LV,50,35,,2010,new-hampshire,
Rasmussen Reports,2010/03/08,2010/03/08,500,LV,47,37,,2010,new-hampshire,
Rasmussen Reports,2010/02/10,2010/02/10,500,LV,46,39,,2010,new-hampshire,
R2000/Daily Kos (D)**,2010/02/01,2010/02/03,600,LV,46,39,,2010,new-hampshire,
WMUR/UNH,2010/01/27,2010/02/03,444,LV,41,33,,2010,new-hampshire,
Rasmussen Reports,2010/01/12,2010/01/12,500,LV,49,40,,2010,new-hampshire,
ARG,2009/12/26,2009/12/29,566,RV,43,36,,2010,new-hampshire,
WMUR/UNH,2009/09/25,2009/10/02,503,A,40,33,,2010,new-hampshire,
ARG,2009/09/25,2009/09/29,572,LV,41,34,,2010,new-hampshire,
Rasmussen Reports,2009/09/14,2009/09/14,500,LV,46,38,,2010,new-hampshire,
R2000/Daily Kos (D)**,2009/07/13,2009/07/15,600,LV,39,38,,2010,new-hampshire,
University of New Hampshire,2009/06/24,2009/07/01,558,A,39,35,,2010,new-hampshire,
Rasmussen Reports,2010/10/21,2010/10/21,500,LV,72,25,,2010,north-dakota,
Rasmussen Reports,2010/09/20,2010/09/21,500,LV,68,25,,2010,north-dakota,
Rasmussen Reports,2010/08/10,2010/08/11,500,LV,69,25,,2010,north-dakota,
Rasmussen Reports,2010/07/21,2010/07/21,500,LV,69,22,,2010,north-dakota,
Rasmussen Reports,2010/06/15,2010/06/16,500,LV,73,19,,2010,north-dakota,
Rasmussen Reports,2010/05/18,2010/05/19,500,LV,72,23,,2010,north-dakota,
Rasmussen Reports,2010/04/20,2010/04/20,500,LV,69,24,,2010,north-dakota,
Rasmussen Reports,2010/03/23,2010/03/23,500,LV,68,25,,2010,north-dakota,
PPP (D),2010/10/29,2010/10/31,847,LV,52,40,,2010,north-carolina,
SurveyUSA,2010/10/22,2010/10/25,590,LV,53,38,,2010,north-carolina,
Civitas (R),2010/10/18,2010/10/20,600,LV,44,34,,2010,north-carolina,
Rasmussen Reports,2010/10/12,2010/10/12,500,LV,52,38,,2010,north-carolina,
PPP (D),2010/10/15,2010/10/17,597,LV,48,40,,2010,north-carolina,
PPP (D),2010/09/23,2010/09/26,681,LV,49,36,,2010,north-carolina,
Civitas (R),2010/09/15,2010/09/17,600,LV,49,29,,2010,north-carolina,
SurveyUSA,2010/09/10,2010/09/13,582,LV,58,34,,2010,north-carolina,
Rasmussen Reports,2010/09/08,2010/09/08,500,LV,54,38,,2010,north-carolina,
PPP (D),2010/08/27,2010/08/29,724,LV,43,38,,2010,north-carolina,
Rasmussen Reports,2010/08/03,2010/08/03,500,LV,49,40,,2010,north-carolina,
PPP (D),2010/07/27,2010/07/31,624,RV,39,37,,2010,north-carolina,
Civitas (R),2010/07/19,2010/07/21,600,LV,44,37,,2010,north-carolina,
SurveyUSA,2010/07/08,2010/07/11,560,LV,46,36,,2010,north-carolina,
Rasmussen Reports,2010/07/06,2010/07/06,500,LV,52,37,,2010,north-carolina,
PPP (D),2010/06/26,2010/06/27,601,LV,38,33,,2010,north-carolina,
SurveyUSA,2010/06/23,2010/06/24,617,LV,50,40,,2010,north-carolina,
Rasmussen Reports,2010/06/23,2010/06/23,500,LV,44,43,,2010,north-carolina,
PPP (D),2010/06/04,2010/06/06,601,LV,46,39,,2010,north-carolina,
Rasmussen Reports,2010/06/03,2010/06/03,500,LV,50,36,,2010,north-carolina,
PPP (D),2010/05/08,2010/05/10,631,LV,43,42,,2010,north-carolina,
Rasmussen Reports,2010/05/05,2010/05/05,1200,LV,48,40,,2010,north-carolina,
Rasmussen Reports,2010/04/19,2010/04/19,500,LV,50,32,,2010,north-carolina,
PPP (D),2010/04/08,2010/04/11,742,LV,43,37,,2010,north-carolina,
Rasmussen Reports,2010/03/22,2010/03/22,500,LV,51,35,,2010,north-carolina,
PPP (D),2010/03/12,2010/03/15,878,LV,41,36,,2010,north-carolina,
Rasmussen Reports,2010/02/23,2010/02/23,500,LV,50,34,,2010,north-carolina,
Mason-Dixon,2010/02/15,2010/02/17,625,RV,54,29,,2010,north-carolina,
PPP (D),2010/02/12,2010/02/15,788,LV,43,33,,2010,north-carolina,
Rasmussen Reports,2010/01/27,2010/01/27,500,LV,47,37,,2010,north-carolina,
PPP (D),2009/12/11,2009/12/13,593,LV,42,37,,2010,north-carolina,
Civitas (R),2009/12/01,2009/12/03,600,LV,40,32,,2010,north-carolina,
PPP (D),2009/11/09,2009/11/11,711,LV,45,34,,2010,north-carolina,
Change Congress (D),2009/10/31,2009/11/01,600,LV,42,35,,2010,north-carolina,
Civitas (R),2009/10/20,2009/10/21,600,LV,44,33,,2010,north-carolina,
Rasmussen Reports,2009/09/15,2009/09/15,500,LV,48,38,,2010,north-carolina,
PPP (D),2009/09/02,2009/09/08,600,LV,42,31,,2010,north-carolina,
PPP (D),2009/08/04,2009/08/10,749,LV,43,31,,2010,north-carolina,
PPP (D),2009/03/12,2009/03/15,1000,RV,43,35,,2010,north-carolina,
Siena,2010/10/27,2010/10/30,603,LV,32,64,,2010,new-york,1
Marist,2010/10/26,2010/10/28,415,LV,36,60,,2010,new-york,1
SurveyUSA,2010/10/25,2010/10/28,544,LV,32,62,,2010,new-york,1
Quinnipiac,2010/10/18,2010/10/24,672,LV,32,64,,2010,new-york,1
Rasmussen Reports,2010/10/19,2010/10/19,500,LV,31,59,,2010,new-york,1
Marist,2010/10/18,2010/10/20,505,LV,35,63,,2010,new-york,1
Siena,2010/10/14,2010/10/18,647,LV,28,67,,2010,new-york,1
New York Times,2010/10/10,2010/10/15,LV,,21,61,,2010,new-york,1
SurveyUSA,2010/10/11,2010/10/13,633,LV,30,63,,2010,new-york,1
SurveyUSA,2010/10/05,2010/10/07,627,LV,30,60,,2010,new-york,1
CNN/Time,2010/10/01,2010/10/05,585,LV,41,57,,2010,new-york,1
Quinnipiac,2010/10/01,2010/10/05,1141,LV,32,63,,2010,new-york,1
PPP (D),2010/10/01,2010/10/03,592,LV,37,59,,2010,new-york,1
Marist,2010/09/19,2010/09/22,617,LV,37,58,,2010,new-york,1
SurveyUSA,2010/09/20,2010/09/21,572,LV,33,54,,2010,new-york,1
Siena,2010/09/16,2010/09/21,801,RV,30,63,,2010,new-york,1
Quinnipiac,2010/09/16,2010/09/20,751,LV,38,54,,2010,new-york,1
Rasmussen Reports,2010/09/16,2010/09/16,500,LV,36,58,,2010,new-york,1
Siena,2010/07/06,2010/07/12,760,RV,26,63,,2010,new-york,1
Rasmussen Reports,2010/06/16,2010/06/16,500,LV,33,54,,2010,new-york,1
Siena,2010/06/07,2010/06/09,808,RV,26,60,,2010,new-york,1
Marist,2010/05/03,2010/05/05,686,RV,27,66,,2010,new-york,1
PPP (D),2010/10/30,2010/10/31,1539,LV,37,30,30,2010,alaska,
Dittman Research (R),2010/10/23,2010/10/28,421,LV,27,23,37,2010,alaska,
CNN/Time,2010/10/15,2010/10/19,946,LV,37,23,37,2010,alaska,
Rasmussen Reports,2010/10/13,2010/10/13,500,LV,35,27,34,2010,alaska,
Daily Kos/PPP (D),2010/10/09,2010/10/10,1678,LV,35,26,33,2010,alaska,
CNN/Time,2010/09/24,2010/09/28,927,LV,38,22,36,2010,alaska,
Rasmussen Reports,2010/09/19,2010/09/19,500,LV,42,25,27,2010,alaska,
PPP (D),2010/10/30,2010/10/31,773,LV,47,21,30,2010,florida,
Sunshine State News/VSS,2010/10/29,2010/10/31,1527,LV,48,20,31,2010,florida,
Quinnipiac,2010/10/25,2010/10/31,925,LV,45,18,31,2010,florida,
Rasmussen Reports,2010/10/27,2010/10/27,750,LV,50,16,30,2010,florida,
Mason-Dixon,2010/10/25,2010/10/27,625,LV,45,21,28,2010,florida,
Sunshine State News/VSS,2010/10/26,2010/10/27,1576,LV,47,23,27,2010,florida,
Quinnipiac,2010/10/18,2010/10/24,784,LV,42,15,35,2010,florida,
TCPalm.com/Zogby,2010/10/18,2010/10/21,802,LV,40,18,33,2010,florida,
St. Petersburg Times,2010/10/15,2010/10/19,577,LV,41,20,26,2010,florida,
CNN/Time,2010/10/15,2010/10/19,798,LV,46,20,32,2010,florida,
Rasmussen Reports,2010/10/18,2010/10/18,750,LV,43,20,32,2010,florida,
Suffolk University,2010/10/14,2010/10/17,500,LV,39,22,31,2010,florida,
PPP (D),2010/10/09,2010/10/10,448,LV,44,21,33,2010,florida,
Quinnipiac,2010/10/06,2010/10/10,1055,LV,44,22,30,2010,florida,
Sunshine State News/VSS,2010/10/06,2010/10/10,1151,LV,45,22,29,2010,florida,
Rasmussen Reports,2010/10/07,2010/10/07,750,LV,50,19,25,2010,florida,
Mason-Dixon,2010/10/04,2010/10/06,625,LV,42,21,27,2010,florida,
FL CoC/POS (R),2010/09/27,2010/09/30,800,LV,40,16,33,2010,florida,
Rasmussen Reports,2010/09/28,2010/09/28,750,LV,41,21,30,2010,florida,
TCPalm.com/Zogby,2010/09/27,2010/09/29,802,LV,39,18,33,2010,florida,
CNN/Time,2010/09/24,2010/09/28,786,LV,42,23,31,2010,florida,
Quinnipiac,2010/09/23,2010/09/26,1151,LV,46,18,33,2010,florida,
Mason-Dixon,2010/09/20,2010/09/22,625,LV,40,23,28,2010,florida,
Rasmussen Reports,2010/09/14,2010/09/14,750,LV,41,23,30,2010,florida,
Reuters/Ipsos,2010/09/10,2010/09/12,486,LV,40,21,26,2010,florida,
FOX News/POR-Rasmussen,2010/09/11,2010/09/11,1000,LV,43,21,27,2010,florida,
CNN/Time,2010/09/02,2010/09/07,899,RV,36,24,34,2010,florida,
Sunshine State News/VSS,2010/09/01,2010/09/07,1016,LV,43,23,29,2010,florida,
Rasmussen Reports,2010/08/25,2010/08/25,750,LV,40,21,30,2010,florida,
PPP (D),2010/08/21,2010/08/22,567,LV,40,17,32,2010,florida,
Quinnipiac,2010/08/11,2010/08/16,1096,RV,32,16,39,2010,florida,
Mason-Dixon,2010/08/09,2010/08/11,625,LV,38,18,33,2010,florida,
Rasmussen Reports,2010/08/09,2010/08/09,750,LV,38,21,33,2010,florida,
St. Petersburg Times,2010/08/06,2010/08/10,602,RV,29,17,33,2010,florida,
AIF/McLaughlin (R),2010/07/31,2010/08/01,600,LV,36,16,38,2010,florida,
Florida Poll/NYT-USF,2010/07/24,2010/07/28,590,LV,30,12,41,2010,florida,
Quinnipiac,2010/07/22,2010/07/27,969,RV,33,13,39,2010,florida,
Rasmussen Reports,2010/07/21,2010/07/21,750,LV,35,20,33,2010,florida,
PPP (D),2010/07/16,2010/07/18,900,RV,29,17,35,2010,florida,
Reuters/Ipsos,2010/07/09,2010/07/11,600,RV,28,17,35,2010,florida,
Rasmussen Reports,2010/07/06,2010/07/06,500,LV,36,15,34,2010,florida,
FL Chamber of Commerce,2010/06/09,2010/06/13,607,LV,31,14,42,2010,florida,
Rasmussen Reports,2010/06/07,2010/06/07,500,LV,37,15,37,2010,florida,
Quinnipiac,2010/06/01,2010/06/07,1133,RV,33,17,37,2010,florida,
St. Petersburg Times,2010/05/14,2010/05/18,607,RV,27,15,30,2010,florida,
Rasmussen Reports,2010/05/16,2010/05/16,500,LV,39,18,31,2010,florida,
Mason-Dixon,2010/05/03,2010/05/05,625,LV,32,19,38,2010,florida,
Rasmussen Reports,2010/05/03,2010/05/03,500,LV,34,17,38,2010,florida,
Rasmussen Reports,2010/04/21,2010/04/21,500,LV,37,22,30,2010,florida,
Quinnipiac,2010/04/08,2010/04/13,1250,RV,30,24,32,2010,florida,
Rasmussen Reports,2010/03/18,2010/03/18,1000,LV,42,25,22,2010,florida,
R2000/Daily Kos (D)**,2010/03/15,2010/03/17,600,LV,32,27,29,2010,florida,
PPP (D),2010/03/05,2010/03/08,849,LV,34,25,27,2010,florida,
